aerobic capacity,NCT01125436
p falciparum asymptomatic carriers,NCT01256658
poverty,"NCT01163695,NCT01180114"
unresectable biliary tract cancer,NCT01127555
pustulosis of palms and soles,NCT01197989
lung neoplasms,"NCT00069160,NCT00094094,NCT00316225,NCT00356525,NCT00413283,NCT01267305,NCT01622621,NCT01658280,NCT01687647,NCT01717482"
physiology,"NCT01154582,NCT01685307"
0454387e6de79e07f4e880f36f7eb47b,NCT01612091
recurrent extrahepatic bile duct cancer,"NCT00033462,NCT00031681,NCT00553332"
clinical depression,NCT01763216
craniopharyngioma,"NCT01206543,NCT01419067,NCT01484873"
nose deformities acquired,NCT01827020
stage ivc verrucous carcinoma of the larynx,"NCT01824823,NCT00088907,NCT00114283,NCT01696955,NCT01816984"
severe hyperglycemia blood glucose level 300mgdl,NCT01267448
2 oxidative stress,NCT01827280
gestational trophoblastic disease,NCT01823315
cervical assessment,NCT01513395
respiratory disease,"NCT01372410,NCT01735474"
insulin,"NCT01145482,NCT01271829,NCT01398059"
case manager,NCT01587105
bypass complications,NCT01450475
respiratory insufficiency,"NCT00296231,NCT01225614,NCT01312948,NCT01383213"
wounds and injuries,"NCT01171521,NCT01171534,NCT01459107,NCT01624103"
full thickness skin loss due to burn unspecified site,NCT01616043
chemotherapy induced neutropenia,"NCT01516736,NCT01674855"
relapsed bladder cancer,NCT01827943
at risk for condition being studied,NCT01653535
soft tissue defect of the finger,NCT01826539
childhood medulloepithelioma,NCT02020720
posterior cerebral artery stroke,NCT01310114
cognitive disorder,NCT01635348
adult primary hepatocellular carcinoma,"NCT00033462,NCT00052364,NCT00047333,NCT00047346,NCT01835223,NCT00077441,NCT01730937"
outcomes,NCT01176110
sirs,"NCT01585909,NCT01686776"
concussion mild,NCT01747811
sga,NCT01511952
menstrual migraine,"NCT01329562,NCT01578941"
anomaly of dental arch,NCT01597206
adenomyosis,NCT01821001
exenatide,NCT01281228
pregnancy termination,NCT01768299
metachromatic leukodystrophy,"NCT01560182,NCT01586455,NCT00176904"
response to hepatitis a vaccine,NCT01360970
any event leading to hospitalisation,NCT01759095
low back spine fusion surgery,NCT01304979
anticoagulation,NCT01267487
mitral valve insufficiency,"NCT01137734,NCT01172184,NCT01533883,NCT01585779,NCT01708265"
hepatectomy,"NCT01223326,NCT01469442,NCT01471080,NCT01617811"
patients with acute coronary syndrome,NCT01799148
stress hyperglycaemia,NCT01440842
brain atrophy,NCT01684761
malignant neoplasm of breast tnm stage m1,NCT01642290
streptococcus pneumoniae infections,"NCT01444339,NCT01444352,NCT01446926"
prostatic hyperplasia,"NCT00090103,NCT00527605,NCT01299571,NCT01376258,NCT01381510,NCT01386983,NCT01577693,NCT01657851,NCT01673490,NCT01767363,NCT01777269"
pharmacokinetics of celecoxib in children,NCT01344200
urinary tract problem,NCT01303627
earlobe keloids,NCT01706861
thoracic aortic surgery,NCT01609270
cmv reactivation,NCT01326273
systemic scleroderma,NCT01559129
obstructive sleep apnea,"NCT00518986,NCT00741520,NCT01013207,NCT01080404,NCT01086800,NCT01100554,NCT01102270,NCT01121445,NCT01156649,NCT01161420,NCT01173406,NCT01173432,NCT01209468,NCT01217346,NCT01265121,NCT01280006,NCT01289392,NCT01312948,NCT01335087,NCT01335854,NCT01336556,NCT01340781,NCT01349205,NCT01368718,NCT01368952,NCT01384760,NCT01392339,NCT01395693,NCT01427673,NCT01482065,NCT01482351,NCT01503164,NCT01535586,NCT01552304,NCT01556464,NCT01569022,NCT01611779,NCT01825278,NCT01672502,NCT01697878,NCT01741480,NCT01753999,NCT01765608,NCT01769807,NCT01772017,NCT01785303"
refractory mycoplasma pneumoniae pneumonia,NCT01217099
craniectomy,NCT01282645
myofacial pain syndromes,NCT01516502
infant nutrition,"NCT01157390,NCT01263912,NCT01333995"
failed labour,NCT01390233
pregnancy complications,"NCT01355159,NCT01357369,NCT01689961"
alcohol induced disorders,NCT01829308
invasive procedures,NCT01348074
optic neuropathy,"NCT01166594,NCT01331616"
patellar tendonitis,NCT01460004
symptomatic lumbar disc herniation,NCT01220921
adolescent vaccination status,NCT01732315
ewing sarcoma,"NCT01858168,NCT01780779"
diabetic stable angina,NCT01331967
ampullary cancer,NCT01522573
transitional cell carcinoma of the bladder,"NCT00072150,NCT00112905,NCT01118351,NCT00005831,NCT00009867"
dietary zinc deficiency,NCT01547377
surveillance colonoscopy,NCT01838408
cancer survivor,"NCT01013831,NCT01593618,NCT01601548,NCT01672684,NCT01824745"
face lift,NCT00999141
circumcision adult male,NCT01688310
morphinan opioid overdose,NCT01293058
sustained virologic response,NCT01378104
stage ii ovarian germ cell tumor,NCT00042952
hepatitis d,NCT01316185
dialysis line thrombosis,NCT01082770
indeterminate thyroid nodules,NCT01106443
hepatitis a,"NCT01000324,NCT00244374,NCT00289718,NCT00289757,NCT00291876,NCT00875485,NCT01307436,NCT01349829,NCT01405677,NCT00139113,NCT00197015,NCT00197184,NCT00197236"
hepatitis b,"NCT01000324,NCT00065507,NCT00023309,NCT00096785,NCT00107042,NCT00169858,NCT00244374,NCT00289718,NCT00393523,NCT00441012,NCT00519649,NCT00524576,NCT00586612,NCT00637195,NCT00678587,NCT00875485,NCT00984139,NCT01126853,NCT01131065,NCT01203319,NCT01317784,NCT01329419,NCT01349283,NCT01357720,NCT01362517,NCT01402908,NCT01451801,NCT01500265,NCT01548326,NCT01580202,NCT01590641,NCT01590654,NCT01606163,NCT01681420,NCT01790633,NCT01821547,NCT00197184"
hepatitis c,"NCT00078403,NCT00056862,NCT00085917,NCT00207363,NCT01833845,NCT00244374,NCT00724854,NCT00728494,NCT01091077,NCT01105611,NCT01137383,NCT01197157,NCT01200420,NCT01221298,NCT01225705,NCT01231685,NCT01250743,NCT01275599,NCT01281423,NCT01292161,NCT01292824,NCT01296451,NCT01317784,NCT01327729,NCT01335607,NCT01350167,NCT01402908,NCT01415141,NCT01419899,NCT01429155,NCT01442311,NCT01446250,NCT01448915,NCT01464827,NCT01469884,NCT01470651,NCT01472354,NCT01485991,NCT01497327,NCT01497366,NCT01499498,NCT01500772,NCT01525810,NCT01549496,NCT01559844,NCT01567735,NCT01591668,NCT01592006,NCT01647191,NCT01654939,NCT01667731,NCT01674725,NCT01681420,NCT01682720,NCT01701336,NCT01707030,NCT01707472,NCT01726400,NCT01790633,NCT01827657,NCT00135798"
rem behavior disorder,NCT00745030
wound infection,"NCT00402727,NCT01141335,NCT01292343,NCT01339091,NCT01431339,NCT01519492,NCT01714596"
adult subependymal giant cell astrocytoma,NCT02020720
prevention of meningococcal disease,NCT01682876
advanced solid malignant tumors,NCT01290471
endoscopic resection,NCT01510730
stage ii verrucous carcinoma of the larynx,NCT01164566
gauchers disease,"NCT01586455,NCT00176904"
cutaneous malignant melanoma,NCT01748448
umbilical cord blood transplant,"NCT01247688,NCT01451502"
endoscopy,"NCT01514695,NCT01627171"
adverse effects for adaptive rt of bladder cancer,NCT01762527
photosensitivity disorders,NCT01491620
metastatic pancreatic adenocarcinoma,"NCT01189539,NCT01204372,NCT01360853,NCT01415713,NCT01510561,NCT01729481,NCT01804530"
mumps,"NCT00975507,NCT00986232,NCT01369394"
cluster headache attacks,NCT01589588
liver damage,NCT01317342
venous,NCT01565239
vaccines pneumococcal conjugate vaccine,"NCT00475033,NCT00500357,NCT00574548"
pleuropulmonary blastoma,NCT01464606
frail elderly,"NCT01446757,NCT01513252,NCT01607736,NCT01713790"
pharmacokinetics of askp1240,"NCT01565681,NCT01582399"
vitamin k status,NCT01672099
cubital tunnel syndrome,"NCT01109901,NCT01693094"
milligan morgan haemorrhoidectomy,NCT01342991
nephrotic syndrome,NCT01197040
npc,NCT01744587
ptsd symptoms,NCT01512771
postprandial fatigue,NCT01810549
constipation functional,"NCT01212146,NCT01587846"
maternal cytomegalovirus infection,NCT01376778
post concussive symptoms,NCT01306968
superficial thrombophlebitis,NCT00443053
disorder related to cardiac transplantation,NCT00377962
complex medical patients,NCT01397253
postoperative cognitive dysfunction,"NCT01283412,NCT01606488"
intracranial aneurysms,"NCT01084681,NCT01541254"
parenteral nutrition,NCT00512629
t cell lymphocytosis,NCT01717846
cerebral haemodynamics,NCT01376882
adult nodular sclerosis hodgkin lymphoma,"NCT01476410,NCT01535924"
lactate,NCT01383889
perceptual disorders,NCT01373866
pervasive developmental disorder,NCT01808066
patellofemoral syndrome,NCT01767246
spondylarthropathies enthesitis,NCT00420303
colorectal cancer precancerousnonmalignant condition,NCT00468910
intestinal polyposis,NCT01301417
recurrent lymphoepithelioma of the oropharynx,"NCT01806675,NCT00031681,NCT00101348,NCT01637194"
tenia solium infection,NCT01584362
erythropoietic protoporphyria epp,NCT01550705
stage ia ovarian germ cell tumor,NCT01764802
surgical site infection after major surgery,NCT01528189
childhood low grade cerebral astrocytoma,NCT02020720
interstitial cystitispainful bladder syndrome,NCT01616992
pain sciatic block,NCT01641419
carotid endarterectomy,NCT01404819
breast cancer with chronic lymphedema,NCT01706081
urinary bladder neurogenic,NCT01530620
acute undifferentiated leukemia,"NCT00014235,NCT00025415,NCT01273766,NCT01727102"
tobacco dependence,"NCT00749463,NCT01084707,NCT01084603,NCT01113424,NCT01184664,NCT01227720,NCT01228617,NCT01234896,NCT01238627,NCT01238640,NCT01250301,NCT01296698,NCT01321944,NCT01321931,NCT01334736,NCT01152723,NCT01152736,NCT01152749,NCT01368016,NCT01408758,NCT01423578,NCT01428310,NCT01440985,NCT01444131,NCT01478230,NCT01494246,NCT01532232,NCT01570595,NCT01635075,NCT01692730,NCT01729507,NCT01735448"
child psychosocial well being,NCT01668992
intestinal inflammation,"NCT01174186,NCT01790542"
childhood obesity,"NCT01107678,NCT01193374,NCT01246349,NCT01281436,NCT01290848,NCT01374386,NCT01374646,NCT01506245,NCT01565525,NCT01649115,NCT01664702,NCT01698606,NCT01757925"
suspected primary prostate cancer,NCT01359189
exercise fat oxidation,NCT01358591
hard to heal wounds,NCT01772303
smoking addiction,NCT01741376
sedated icu patients,NCT01361230
symptomatic atrial fibrillation,NCT01691313
upper aerodigestive tract,NCT01632969
signet ring adenocarcinoma of the rectum,"NCT00060411,NCT01652196,NCT01726296,NCT01814501"
receiving breast milk,NCT01276366
childhood cancer,"NCT01661335,NCT01711944,NCT01742481,NCT01772849,NCT01772862"
canthal lines,NCT01308060
hepatitis b vaccine,"NCT00519649,NCT00524576,NCT00984139"
crohns diseases,NCT01793831
mixed conductive and sensorineural hearing loss bilateral,NCT01529333
hemochromatosis,NCT00122980
non alcoholic fatty liver disease nafld,"NCT01477307,NCT01811472"
risk behavior,"NCT00244374,NCT01323231,NCT01741311,NCT01823250"
enoxaparin,NCT01354704
smoke exposure,NCT01592682
pcos gnrh antagonist and gnrh agonist ivficsi cycles,NCT01354275
cutaneous t cell lymphomas ctcl,NCT01579318
gallstones,"NCT01232959,NCT01625026,NCT01709877,NCT01822262"
brain edema,NCT01369121
lumpectomy,"NCT01247233,NCT01756092"
uterine cervical incompetence,NCT01737788
myeloblastic leukaemia,NCT01615809
no hemorrhage,NCT01589744
prevention from norovirus infection,NCT01609257
glycemic control,NCT01549964
newborns with a gestational age of 32 37 weeks,NCT01276366
congestive heart failure treated,NCT01482598
acute decompensated heart failure,"NCT00843986,NCT01140399"
siea flap breast reconstruction,NCT01469494
glucocorticoid treatment,NCT01319994
impaired renal function,NCT01760031
skin disease,NCT01187732
vertebral metastasis,"NCT01527292,NCT01654068"
bone health,"NCT01235325,NCT01638182,NCT01747447"
witness,NCT01661660
multiple trauma,"NCT01074112,NCT01099501,NCT01240291,NCT01477697"
human hookworm infection,NCT01261130
hepatitis a and hepatitis b,NCT01037114
stage i childhood anaplastic large cell lymphoma,NCT00040846
body dysmorphic disorders,NCT01316627
glomerulonephritis membranous,"NCT01129557,NCT01282073,NCT01610492,NCT01762852"
disorder related to transplantation,"NCT01328496,NCT01549665"
intestinal adenocarcinoma of the stomach,NCT00084604
blastic plasmacytoid dendritic cell neoplasm,NCT00014235
schizophrenia schizoaffective or schizophreniform disorder,NCT01121042
tympanomastoid surgery,NCT01638052
stage iii bladder cancer,"NCT00072150,NCT00112905"
major depressive disorder recurrent mild,NCT01718730
glycogen storage disease type ii,NCT01656590
self injurious behavior,"NCT01081314,NCT01751802"
coronary artery stent thrombosis,NCT01689493
viral shedding,NCT01533480
vertebral compression fracture,NCT01383616
color changes during tooth formation,NCT01300780
upper arm disability,NCT01554449
diplegia,NCT01799304
preventive care,"NCT00581347,NCT01188629,NCT01800669"
benign colorectal neoplasm,NCT01626963
childhood depression,NCT01813669
scars,"NCT01112371,NCT01350739,NCT01358838,NCT01700595,NCT01810484,NCT01813786"
operation finding,NCT01628250
pharmacodynamics of warfarin,NCT01657825
intra uterine growth restriction,NCT01648855
squamous cell carcinoma esophageal,NCT01404156
pathological or at risk gambling,NCT01207674
healthy term babies,NCT01251783
stage iv anal cancer,NCT00031681
chronic hepatitis c virus infection,"NCT01080222,NCT01121731"
ventricular septal defects,NCT00890799
poor medication adherence,NCT01714141
exfoliation syndrome,NCT01301378
stage ii gestational trophoblastic tumor,NCT01764802
primary axillary hyperhidrosis,NCT01722461
head trauma,"NCT01099501,NCT01448473"
esophageal cancer tnm staging primary tumor t t3,NCT01745107
carbon monoxide poisoning,"NCT01099995,NCT01100515,NCT01758653"
thermoregulation impairment,NCT01793558
ionizing radiation,NCT01334931
recurrent squamous cell carcinoma of the hypopharynx,"NCT00063895,NCT00031681,NCT00088907,NCT00098631,NCT00101348,NCT00114283,NCT01332279,NCT01334177,NCT01637194,NCT01674374,NCT01696955,NCT01810913,NCT01816984"
immunodeficiency and suspected infection,NCT02007642
limited stage disease,NCT01797159
occipital neuralgia unilateral or bilateral,NCT01753765
alzheimer disease,"NCT00071721,NCT01128725,NCT01183806,NCT01217021,NCT01297140,NCT01339130,NCT01400542,NCT01409694,NCT01461109,NCT01515982,NCT01518374,NCT01550549,NCT01565291,NCT01565330,NCT01639586,NCT01669876,NCT01696019,NCT01696123,NCT01696591,NCT01700556,NCT01815112,NCT00161473"
adolescent problem behaviour at school,NCT01323231
food addiction,NCT01175512
persian gulf syndrome,"NCT01700725,NCT01782378"
nosocomial pneumonia,NCT01796717
chronic gouty arthritis,NCT01470989
recurrent squamous cell carcinoma of the larynx,"NCT00063895,NCT00031681,NCT00088907,NCT00098631,NCT00101348,NCT00114283,NCT01332279,NCT01334177,NCT01637194,NCT01674374,NCT01696955,NCT01810913,NCT01816984"
trigger finger,"NCT01486420,NCT01693094"
alopecia,"NCT01831791,NCT01145625,NCT01367990,NCT01557491,NCT01590238"
follicular and agressive dlbclmcl b cell lymphoma patients phase ii,NCT01582776
depression not otherwise specified,NCT01189812
recurrences,NCT01295437
renal allograft,NCT01469884
psychotrauma,NCT01228253
adult growth hormone deficiency,NCT01822340
intimate partner violence,NCT01322880
tick borne illness,NCT01454414
evaluation of video discharge instructions in improving understanding,NCT01630265
primary ovarian insufficiency,NCT01662466
endocrine system diseases,"NCT00163215,NCT00174187,NCT00174291"
food habits,NCT01291238
cholangiocarcinoma of the extrahepatic bile duct,NCT00033462
infant and young child feeding,NCT01405755
transfemoral amputation,NCT01537211
pertussis,"NCT00489970,NCT00518180,NCT00835237,NCT01188512,NCT01311557,NCT01346293,NCT01357720,NCT01362517,NCT01439165,NCT01659996,NCT01689324,NCT01761799"
skin structure infections,NCT00719810
health promotion,NCT01365026
incomplete spinal cord injury,NCT01147185
687b4da088ee82f7d18791b859e97105,NCT01664871
chronic stress,"NCT01299402,NCT01544270"
diabetic ketoacidosis,NCT01365793
persons issued from amd parents,NCT01269697
adult grade iii meningioma,NCT00045110
ankylosing spondylitis,"NCT00000416,NCT00420238,NCT00667355,NCT00873730,NCT01104987,NCT01212653,NCT01289743,NCT01330901,NCT01351311,NCT01389388,NCT01420432,NCT01436942,NCT01463189,NCT01586650,NCT01649375,NCT01690273,NCT01793285,NCT00085644,NCT00195819"
citrullinemia,NCT01610089
scars after surgical intervention,NCT01639105
assess the effect of green tea on diabetes,NCT01248143
foot ulcers,NCT01608425
bone shortening,NCT01738113
major depressive disorder,"NCT01971203,NCT01450150,NCT00105196,NCT00107120,NCT01001559,NCT00406848,NCT00437125,NCT00518986,NCT00619619,NCT00668525,NCT00683592,NCT00763594,NCT00863798,NCT01103271,NCT01134731,NCT01162382,NCT01175616,NCT01188135,NCT01189812,NCT01198795,NCT01203683,NCT01260649,NCT01263730,NCT01304147,NCT01305889,NCT01312922,NCT01318434,NCT01325532,NCT01211756,NCT01337609,NCT01342536,NCT01355081,NCT01357967,NCT01369290,NCT01370733,NCT01380704,NCT01392287,NCT01395147,NCT01409304,NCT01409317,NCT01415154,NCT01416220,NCT01421342,NCT01422213,NCT01423240,NCT01423253,NCT01426516,NCT01429831,NCT01431001,NCT01431573,NCT01438242,NCT01443715,NCT01468610,NCT01477203,NCT01478113,NCT01479920,NCT01483391,NCT01487668,NCT01488266,NCT01492309,NCT01517503,NCT01533285,NCT01538199,NCT01556048,NCT01557946,NCT01559857,NCT01568307,NCT01571453,NCT01582581,NCT01582815,NCT01582945,NCT01583998,NCT01590862,NCT01598922,NCT01608399,NCT01613820,NCT01625845,NCT01627782,NCT01633437,NCT01640080,NCT01640483,NCT01655706,NCT01667926,NCT01700829,NCT01706731,NCT01715805,NCT01719315,NCT01721824,NCT01725048,NCT01725282,NCT01734291,NCT01740726,NCT01741142,NCT01763983,NCT01764867,NCT01814085,NCT01818453,NCT01829165,NCT01803802,NCT00166296"
ischaemic cerebral infarction,NCT01438593
radiculopathy,"NCT00585923,NCT01073995,NCT01236092,NCT01338766,NCT01367860,NCT01500044,NCT01547611"
intracranial pathology,NCT01824576
gastric antral vascular ectasia,"NCT00964496,NCT01601639"
ileostomy,NCT01272869
korean,"NCT01626716,NCT01727960"
atazanavir,NCT01368783
adenocarcinoma esophageal,NCT01404156
decrease in heart rate below baseline value,NCT01388036
migraine headaches,"NCT00792636,NCT01118988,NCT01629329"
neoplasms ovarian,"NCT00281632,NCT00316173,NCT00561795"
retinal degeneration,"NCT01278277,NCT01399515,NCT01494805,NCT01497379"
stage iv colon cancer,"NCT00005818,NCT00031681,NCT00101348,NCT00138177,NCT01126346,NCT01652196,NCT01814501"
diabetes obesity,NCT01168765
atypical femoral fracture,NCT01705587
muscle mass,NCT01776359
stage iv adult lymphoblastic lymphoma,"NCT01805037,NCT00019708,NCT00025415,NCT00060112,NCT01273766,NCT00098891,NCT00003970"
unhealthy drinking,NCT01135654
pars plana vitrectomy,"NCT01255306,NCT01788475"
acute leukemia of ambiguous lineage,NCT01319864
prevalence of b sag,NCT01199601
carcinoma of the nasal cavity,NCT01528137
epithelial ovarian cancer,"NCT01832415,NCT00561795,NCT01091636,NCT01121640,NCT01146795,NCT01164995,NCT01439490,NCT01442051,NCT01521143,NCT01634893,NCT01666444,NCT01801215"
benign desease of the ovaries,NCT01566955
hyperthyroidism,NCT01105923
physiological strain of weight bearing,NCT01565876
pelvic inflammatory disease pid,NCT01640379
informed consent,NCT01546194
hydrocephalus,NCT00196196
wet macular degeneration,"NCT01189019,NCT01249937"
end colostomy,NCT01138709
chronic laryngitis,NCT01806220
persistent occipitoposterior or occipitoanterior position,NCT01291355
spinal stenosis,"NCT01106417,NCT01127100,NCT01131611,NCT01275547,NCT01316211"
functional chest pain,NCT01284179
mental disorders,"NCT01181635,NCT01201187,NCT01297985,NCT01324674,NCT01333280,NCT01346514,NCT01360866,NCT01371799,NCT01374035,NCT01476371,NCT01492829,NCT01536210,NCT01633138,NCT01656707,NCT01696591,NCT01719354,NCT01727726,NCT01731418,NCT01767207,NCT01796223,NCT01831999"
anaplastic ependymoma,NCT01721577
clinical skills training,NCT01416727
dba,NCT01362595
drug use disorders during pregnancy,NCT01177982
stage iii mucoepidermoid carcinoma of the oral cavity,"NCT00101348,NCT01164566"
blood flow,NCT01200433
anesthetics local,NCT01115062
dbs,NCT01274832
hematological cancer,NCT01524445
11de292419257dccc3b57ac8795f20ee,NCT01510847
hospital costs,NCT01080547
social cognition,NCT01206842
autoimmune diseases of the nervous system,NCT01684761
peer review research,NCT01530971
secondary dental caries,"NCT01641861,NCT01680289"
pterygium,"NCT01169909,NCT01250353,NCT01686529"
high risk for postoperative cardiovascular events,NCT01262222
compensated heart failure,NCT01549158
diagnosis of adult growth hormone deficiency agdh,NCT00448747
hepatitis b chronic,"NCT00076336,NCT00347009,NCT00536263,NCT00686790,NCT01341106,NCT01424540"
insulin like growth factor 1 deficiency,"NCT00125164,NCT00125190"
post op pain,NCT02123979
diabetic ulcer of plantar aspect of left foot,NCT01762085
spinal anesthesia,"NCT01236859,NCT01264575,NCT01609517"
overactive bladder,"NCT00350636,NCT00431041,NCT00444925,NCT00478881,NCT00561951,NCT00611026,NCT00658684,NCT00691093,NCT01127126,NCT01166438,NCT01167257,NCT01175382,NCT01187082,NCT01214265,NCT01294982,NCT01314781,NCT01369485,NCT01423838,NCT01512004,NCT01515722,NCT01657409,NCT01824420"
evaluation the effective and safety of tauroursodeoxycholic acid tudca treatment of adult primary biliary cirrhosis pbc,NCT01829698
cervical ripening,"NCT00308711,NCT01620814,NCT01641601,NCT01720394"
adult acute minimally differentiated myeloid leukemia m0,"NCT01806571,NCT00006363,NCT00027872,NCT00089388,NCT00131989,NCT00098423,NCT01729845"
abdominal neoplasm,NCT00004547
genotype 1,"NCT01121731,NCT01405027"
femur fractures,NCT01354535
bronchopulmonary dysplasia,"NCT01632475,NCT01124331,NCT01203488,NCT01207869,NCT01268215,NCT01297205,NCT01383850,NCT01424553,NCT01473264,NCT01600430,NCT01648855,NCT01721655,NCT00215540"
inverse ratio ventilation,NCT01540201
neoplasm metastasis,"NCT01461252,NCT00125034,NCT00328575,NCT01178151,NCT01218542,NCT01256801,NCT01442324,NCT01461265,NCT01489787,NCT01594892,NCT01696565,NCT00001832,NCT01823003"
oral feeding outcomes,NCT01666457
induced abortion nonmedical,NCT01678703
disability evaluation,NCT01611129
st segment elevation myocardial infarction stemiq wave mi,NCT01113268
treatment resistant anxiety disorders,NCT01571089
undifferentiated arthritis,NCT01245361
3d mammography,NCT01612650
gbm,"NCT01112527,NCT01491893,NCT01752491"
infant premature diseases,NCT01304394
restless legs syndrome rls,"NCT00748098,NCT01411124,NCT01494766,NCT01823770"
poor sleep quality,NCT01602523
infantile nystagmus syndrome,NCT01312402
essential thrombocytopenia,NCT01423851
temporomandibular joint dysfunction syndrome,"NCT01800279,NCT01825629"
serious fungal infections,"NCT01073618,NCT01073631"
tb multi drug resistant,NCT00396084
hypoxaemia,NCT01396759
gynecological pathology,NCT01303614
immune response,"NCT01138956,NCT01472263"
osteoarthritis in the carpometacarpal cmc joint,NCT01794754
heartburn,"NCT01005251,NCT01037452,NCT01095133,NCT01149395,NCT01249651,NCT01338077,NCT01370525,NCT01370538"
genital mycoplasma infection,NCT01661985
stomach disease,NCT01741363
prodromal schizophrenia,"NCT01597141,NCT01619319"
cochlear implant,"NCT01638052,NCT01737489"
foetuses infection,NCT01651585
corneal implantation,NCT01718184
sjogrens syndrome,"NCT00631358,NCT01160666,NCT01357447,NCT01393132,NCT01601028"
healthy infants,"NCT01825109,NCT01249911,NCT01601197,NCT01609634,NCT01699386"
solid tumor not breast or prostate cancers,NCT01588821
eye infectioninflammation other,NCT01603030
ampulla of vater adenoma,NCT01737463
convulsion non epileptic,NCT00159965
indolent lymphoma,NCT01263899
colorectal cancer metastatic,"NCT00252564,NCT01228734,NCT01315990,NCT01317433,NCT01508000,NCT01522612,NCT01646554,NCT01668680"
well beingquality of life,NCT01497613
cholecystectomy laparoscopic,"NCT01094379,NCT01523886"
learning clinical surgery from online learning modules,NCT01322230
aesthetic lip enhancement treatment with hyaluronic acid fillers,NCT01745250
fracture of acetabulum,NCT01437150
mucosal lentiginous melanoma,NCT01395121
indeterminate bile duct stricture,NCT01580709
secondary myelofibrosis,"NCT01273766,NCT01731951,NCT01732445"
intraoperative floppy iris syndrome,NCT01693575
light chain deposition disease,NCT01727102
palatally impacted canines,NCT01093352
severe malnutrition,NCT01593969
dermatitis seborrheic,NCT01337284
post stroke,NCT01138995
drug interaction potentiation,"NCT01324752,NCT01736371"
all hospitalzied patients,NCT01797133
patients age 20 90,NCT01235715
cardiac valve disease,NCT01783483
diffuse large b cell lymphoma,"NCT01122472,NCT01202448,NCT01226849,NCT01277172,NCT01279902,NCT01285765,NCT01314014,NCT01397825,NCT01453205,NCT01459887,NCT01466868,NCT01481272,NCT01502982,NCT01510184,NCT01523834,NCT01562977,NCT01562990,NCT01626352,NCT01653067,NCT01679119,NCT01741792,NCT01760226,NCT01796470,NCT01799889"
pancreatic adenocarcinoma,"NCT01369420,NCT01474564,NCT01543412,NCT01699698,NCT01726582,NCT01753479,NCT01764477,NCT01765036,NCT01781728"
prostate cancer recurrent,"NCT01126879,NCT01512472"
closed fracture of base of fifth metatarsal bone,NCT01592604
cancer of the ovary,NCT01535157
affective disorders,"NCT01182012,NCT01815398"
patient compliance,"NCT01807442,NCT01082523,NCT01174706,NCT01252212,NCT01454830,NCT01568515,NCT01689493,NCT01752595"
anaplastic oligodendroglioma,"NCT01380782,NCT01470794,NCT01711580,NCT01721577"
post concussion syndrome,NCT01611194
respiratory tract diseases,"NCT01244867,NCT01442779,NCT01587131"
pediatric obstructive sleep apnea,NCT01276860
leishmaniasis,"NCT01300975,NCT01377974,NCT01484548"
aortic valve stenosis with insufficiency,"NCT01445171,NCT01700439"
upper gastrointestinal endoscopy,NCT01471600
anti r huepo associated prca subjects,NCT01288131
obesity prevention,NCT01117363
kras wild type,NCT01351038
respiratory distress syndrome,"NCT01093495,NCT01121328,NCT01265589,NCT01277874,NCT01383850,NCT01440868,NCT01471431,NCT01496508,NCT01517828,NCT01553292,NCT01709409,NCT01759316"
laryngeal verrucous carcinoma recurrent,NCT01316757
congenital hyperinsulinism,NCT01468454
vitamin k dependent proteins,NCT01194778
ct,"NCT01142531,NCT01192932"
failure of bone marrow graft,NCT01280955
irreversible pulpitis,"NCT01167985,NCT01496846,NCT01561183,NCT01572116"
small cell glioblastoma,"NCT01480479,NCT01498328"
microcirculation,"NCT01264146,NCT01265004"
erosion cornea traumatic,NCT01809483
placental trasfusion,NCT01497340
tissue oxygenation and perfusion status,NCT01760044
injury due to endoscopic examination,NCT01784237
progesterone receptor positive tumor,NCT01548534
adult acute myeloblastic leukemia with maturation m2,"NCT01806571,NCT00006363,NCT00027872,NCT00131989,NCT00098423,NCT01729845,NCT01801046"
resistant hypertension,"NCT01508754,NCT01522430,NCT01789918"
meningitis,"NCT00700635,NCT00850603,NCT01119482,NCT01359449,NCT01430611,NCT01519713,NCT01554124,NCT01580033,NCT01593514,NCT01619462,NCT01642589,NCT01659996,NCT01661738,NCT01661751,NCT00219401"
perianal fistula,NCT01623453
cardiac arrhythmia,"NCT01572454,NCT01825525"
intra articular fractures,NCT01230931
bcr abl positive,NCT01641107
carpal tunnel syndrome,"NCT01093209,NCT01588158,NCT01590745,NCT01693094,NCT01716767,NCT01756820,NCT01789645"
diabetic neuropathies,"NCT00552175,NCT00641719,NCT01180608,NCT01263132,NCT01816906"
cardiac echocardiography assessment,NCT01253889
drug induced obesity,NCT01794429
whiplash associated disorder,NCT01547624
acute kidney disease,NCT01575015
exhaled breath condensate,"NCT01239238,NCT01241890"
popliteal bifurcation,NCT01229696
dyspeptic subjects,NCT01677338
localized unresectable neuroblastoma,"NCT00026312,NCT00028522,NCT01711554"
renal transplantation,"NCT01822483,NCT00035555,NCT00369278,NCT00413920,NCT01149993,NCT01291030,NCT01408797,NCT00038948,NCT01456832,NCT01469390,NCT01596062,NCT01729494,NCT00154310"
untreated childhood pineoblastoma,NCT02020720
blood coagulation disorders,"NCT01143909,NCT01187225,NCT01221389,NCT01435304"
carcinoma of the nasopharynx,NCT01528137
